Category,City,Country/Region,Customer Name,Order Date,Order ID,Postal Code,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Year Label,Days to Ship,Discount,Profit,Quantity,Sales
Office Supplies,Los Angeles,United States,Eric Hoffmann,1/16/2021,CA-2021-121755,90049,West,Consumer,1/20/2021,Second Class,California,Binders,2021,4,0.2,4.2224,2,11.648
Technology,Los Angeles,United States,Eric Hoffmann,1/16/2021,CA-2021-121755,90049,West,Consumer,1/20/2021,Second Class,California,Accessories,2021,4,0,11.7741,3,90.57
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Bookcases,2020,4,0.5,-1665.0522,7,3083.43
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Binders,2020,4,0.7,-7.0532,2,9.618
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Furnishings,2020,4,0.2,15.525,3,124.2
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Envelopes,2020,4,0.2,1.1016,2,3.264
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Art,2020,4,0.2,9.7092,6,86.304
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Binders,2020,4,0.7,-5.715,6,6.858
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2020,US-2020-150630,19140,East,Consumer,9/21/2020,Standard Class,Pennsylvania,Art,2020,4,0.2,3.546,2,15.76
Office Supplies,Houston,United States,Matt Abelman,10/19/2022,CA-2022-107727,77095,Central,Home Office,10/23/2022,Second Class,Texas,Paper,2022,4,0.2,9.9468,3,29.472
Technology,Richardson,United States,Gene Hale,12/8/2021,CA-2021-117590,75080,Central,Corporate,12/10/2021,First Class,Texas,Phones,2021,2,0.2,123.4737,7,1097.544
Furniture,Richardson,United States,Gene Hale,12/8/2021,CA-2021-117590,75080,Central,Corporate,12/10/2021,First Class,Texas,Furnishings,2021,2,0.6,-147.963,5,190.92
Office Supplies,Houston,United States,Steve Nguyen,12/27/2020,CA-2020-117415,77041,Central,Home Office,12/31/2020,Standard Class,Texas,Envelopes,2020,4,0.2,35.415,9,113.328
Furniture,Houston,United States,Steve Nguyen,12/27/2020,CA-2020-117415,77041,Central,Home Office,12/31/2020,Standard Class,Texas,Bookcases,2020,4,0.32,-46.9764,3,532.3992
Furniture,Houston,United States,Steve Nguyen,12/27/2020,CA-2020-117415,77041,Central,Home Office,12/31/2020,Standard Class,Texas,Chairs,2020,4,0.3,-15.147,3,212.058
Technology,Houston,United States,Steve Nguyen,12/27/2020,CA-2020-117415,77041,Central,Home Office,12/31/2020,Standard Class,Texas,Phones,2020,4,0.2,41.7564,4,371.168
Technology,Naperville,United States,Linda Cazamias,9/10/2022,CA-2022-120999,60540,Central,Corporate,9/15/2022,Standard Class,Illinois,Phones,2022,5,0.2,16.5564,4,147.168
Office Supplies,Los Angeles,United States,Ruben Ausman,7/17/2021,CA-2021-101343,90049,West,Corporate,7/22/2021,Standard Class,California,Storage,2021,5,0,3.894,2,77.88
Office Supplies,Melbourne,United States,Erin Smith,9/19/2022,CA-2022-139619,32935,South,Corporate,9/23/2022,Standard Class,Florida,Storage,2022,4,0.2,9.5616,2,95.616
Technology,Eagan,United States,Odella Nelson,3/11/2021,CA-2021-118255,55122,Central,Corporate,3/13/2021,First Class,Minnesota,Accessories,2021,2,0,19.7714,2,45.98
Office Supplies,Eagan,United States,Odella Nelson,3/11/2021,CA-2021-118255,55122,Central,Corporate,3/13/2021,First Class,Minnesota,Binders,2021,2,0,8.2062,2,17.46
Office Supplies,Westland,United States,Patrick O'Donnell,10/20/2019,CA-2019-146703,48185,Central,Consumer,10/25/2019,Second Class,Michigan,Storage,2019,5,0,8.4784,4,211.96
Technology,Dover,United States,Lena Hernandez,6/20/2021,CA-2021-169194,19901,East,Consumer,6/25/2021,Standard Class,Delaware,Accessories,2021,5,0,4.95,3,45
Technology,Dover,United States,Lena Hernandez,6/20/2021,CA-2021-169194,19901,East,Consumer,6/25/2021,Standard Class,Delaware,Phones,2021,5,0,6.104,2,21.8
Office Supplies,New Albany,United States,Darren Powers,4/18/2020,CA-2020-115742,47150,Central,Consumer,4/22/2020,Standard Class,Indiana,Binders,2020,4,0,17.9634,6,38.22
Office Supplies,New Albany,United States,Darren Powers,4/18/2020,CA-2020-115742,47150,Central,Consumer,4/22/2020,Standard Class,Indiana,Labels,2020,4,0,35.3346,6,75.18
Furniture,New Albany,United States,Darren Powers,4/18/2020,CA-2020-115742,47150,Central,Consumer,4/22/2020,Standard Class,Indiana,Furnishings,2020,4,0,2.9568,2,6.16
Furniture,New Albany,United States,Darren Powers,4/18/2020,CA-2020-115742,47150,Central,Consumer,4/22/2020,Standard Class,Indiana,Chairs,2020,4,0,17.0981,1,89.99
Office Supplies,New York City,United States,Janet Molinari,12/11/2021,CA-2021-105816,10024,East,Corporate,12/17/2021,Standard Class,New York,Fasteners,2021,6,0,6.2566,7,15.26
Technology,New York City,United States,Janet Molinari,12/11/2021,CA-2021-105816,10024,East,Corporate,12/17/2021,Standard Class,New York,Phones,2021,6,0,298.6855,5,1029.95
Office Supplies,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Storage,2021,1,0,52.14,6,208.56
Office Supplies,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Paper,2021,1,0,15.552,5,32.4
Furniture,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Chairs,2021,1,0.1,7.098,5,319.41
Office Supplies,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Paper,2021,1,0,6.9888,2,14.56
Technology,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Accessories,2021,1,0,3.3,2,30
Office Supplies,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Binders,2021,1,0.2,16.362,4,48.48
Office Supplies,Troy,United States,Ted Butterfield,6/17/2021,CA-2021-111682,12180,East,Consumer,6/18/2021,First Class,New York,Art,2021,1,0,0.84,1,1.68
Technology,Los Angeles,United States,Kunst Miller,11/24/2020,CA-2020-135545,90004,West,Consumer,11/30/2020,Standard Class,California,Accessories,2020,6,0,6.1512,2,13.98
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2020,CA-2020-135545,90004,West,Consumer,11/30/2020,Standard Class,California,Binders,2020,6,0.2,9.3612,6,25.824
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2020,CA-2020-135545,90004,West,Consumer,11/30/2020,Standard Class,California,Paper,2020,6,0,68.9631,3,146.73
Furniture,Los Angeles,United States,Kunst Miller,11/24/2020,CA-2020-135545,90004,West,Consumer,11/30/2020,Standard Class,California,Furnishings,2020,6,0,22.3328,4,79.76
Furniture,Chicago,United States,Paul Stevenson,4/30/2020,US-2020-164175,60610,Central,Home Office,5/5/2020,Standard Class,Illinois,Chairs,2020,5,0.3,-15.2225,5,213.115
Office Supplies,Gilbert,United States,Brendan Sweed,12/5/2019,CA-2019-106376,85234,West,Corporate,12/10/2019,Standard Class,Arizona,Art,2019,5,0.2,111.3024,8,1113.024
Technology,Gilbert,United States,Brendan Sweed,12/5/2019,CA-2019-106376,85234,West,Corporate,12/10/2019,Standard Class,Arizona,Phones,2019,5,0.2,62.988,4,167.968
Office Supplies,Springfield,United States,Karen Daniels,6/4/2021,CA-2021-119823,22153,South,Consumer,6/6/2021,First Class,Virginia,Paper,2021,2,0,35.6636,2,75.88
Office Supplies,New York City,United States,Henry MacAllister,9/18/2021,CA-2021-106075,10009,East,Consumer,9/23/2021,Standard Class,New York,Binders,2021,5,0.2,1.731,1,4.616
Office Supplies,Jackson,United States,Tracy Blumstein,9/14/2022,CA-2022-114440,49201,Central,Consumer,9/17/2022,Second Class,Michigan,Paper,2022,3,0,8.763,3,19.05
Furniture,Memphis,United States,Joel Eaton,4/26/2020,US-2020-134026,38109,South,Consumer,5/2/2020,Standard Class,Tennessee,Chairs,2020,6,0.2,-114.3912,8,831.936
Furniture,Memphis,United States,Joel Eaton,4/26/2020,US-2020-134026,38109,South,Consumer,5/2/2020,Standard Class,Tennessee,Furnishings,2020,6,0.2,1.213,2,97.04
Office Supplies,Memphis,United States,Joel Eaton,4/26/2020,US-2020-134026,38109,South,Consumer,5/2/2020,Standard Class,Tennessee,Storage,2020,6,0.2,-18.196,1,72.784
Office Supplies,Houston,United States,Ken Brennan,12/9/2022,US-2022-118038,77041,Central,Corporate,12/11/2022,First Class,Texas,Binders,2022,2,0.8,-1.9344,3,1.248
Furniture,Houston,United States,Ken Brennan,12/9/2022,US-2022-118038,77041,Central,Corporate,12/11/2022,First Class,Texas,Furnishings,2022,2,0.6,-5.8248,3,9.708
Office Supplies,Houston,United States,Ken Brennan,12/9/2022,US-2022-118038,77041,Central,Corporate,12/11/2022,First Class,Texas,Storage,2022,2,0.2,2.724,3,27.24
Furniture,Houston,United States,Joel Eaton,11/26/2019,US-2019-147606,77070,Central,Consumer,12/1/2019,Second Class,Texas,Furnishings,2019,5,0.6,-14.475,5,19.3
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2021,CA-2021-127208,35601,South,Corporate,6/15/2021,First Class,Alabama,Appliances,2021,3,0,56.2032,1,208.16
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2021,CA-2021-127208,35601,South,Corporate,6/15/2021,First Class,Alabama,Binders,2021,3,0,8.0352,3,16.74
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2019,CA-2019-139451,94122,West,Consumer,10/16/2019,Standard Class,California,Art,2019,4,0,4.172,5,14.9
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2019,CA-2019-139451,94122,West,Consumer,10/16/2019,Standard Class,California,Storage,2019,4,0,6.2031,1,21.39
Office Supplies,Durham,United States,Julie Creighton,9/3/2020,CA-2020-149734,27707,South,Corporate,9/8/2020,Standard Class,North Carolina,Envelopes,2020,5,0.2,62.8075,7,200.984
Office Supplies,Chicago,United States,Christopher Schild,11/13/2022,US-2022-119662,60623,Central,Home Office,11/16/2022,First Class,Illinois,Storage,2022,3,0.2,-48.9549,3,230.376
Furniture,Columbia,United States,Patrick O'Donnell,5/28/2022,CA-2022-140088,29203,South,Consumer,5/30/2022,Second Class,South Carolina,Chairs,2022,2,0,33.2156,2,301.96
Technology,Rochester,United States,Paul Gonzalez,10/26/2022,CA-2022-155558,55901,Central,Consumer,11/2/2022,Standard Class,Minnesota,Accessories,2022,7,0,6.7966,1,19.99
Office Supplies,Rochester,United States,Paul Gonzalez,10/26/2022,CA-2022-155558,55901,Central,Consumer,11/2/2022,Standard Class,Minnesota,Labels,2022,7,0,2.9568,2,6.16
Office Supplies,Houston,United States,Gary Mitchum,4/5/2021,CA-2021-159695,77095,Central,Home Office,4/10/2021,Second Class,Texas,Storage,2021,5,0.2,13.8572,7,158.368
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2021,CA-2021-109806,90036,West,Corporate,9/22/2021,Standard Class,California,Art,2021,5,0,6.633,3,20.1
Technology,Los Angeles,United States,Jim Sink,9/17/2021,CA-2021-109806,90036,West,Corporate,9/22/2021,Standard Class,California,Phones,2021,5,0.2,8.2782,2,73.584
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2021,CA-2021-109806,90036,West,Corporate,9/22/2021,Standard Class,California,Paper,2021,5,0,3.1104,1,6.48
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2020,CA-2020-149587,55407,Central,Consumer,2/5/2020,Second Class,Minnesota,Paper,2020,5,0,6.2208,2,12.96
Furniture,Minneapolis,United States,Karl Braun,1/31/2020,CA-2020-149587,55407,Central,Consumer,2/5/2020,Second Class,Minnesota,Furnishings,2020,5,0,16.5354,3,53.34
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2020,CA-2020-149587,55407,Central,Consumer,2/5/2020,Second Class,Minnesota,Binders,2020,5,0,16.1504,2,32.96
Office Supplies,Portland,United States,Roger Barcio,11/6/2022,US-2022-109484,97206,West,Home Office,11/12/2022,Standard Class,Oregon,Binders,2022,6,0.7,-3.788,1,5.682
Furniture,New York City,United States,Parhena Norris,11/9/2022,CA-2022-161018,10009,East,Home Office,11/11/2022,Second Class,New York,Furnishings,2022,2,0,40.5426,7,96.53
Office Supplies,San Francisco,United States,Katherine Ducich,6/17/2022,CA-2022-157833,94122,West,Consumer,6/20/2022,First Class,California,Binders,2022,3,0.2,17.9592,3,51.312
Office Supplies,Saint Paul,United States,Elpida Rittenbach,9/6/2021,CA-2021-149223,55106,Central,Corporate,9/11/2021,Standard Class,Minnesota,Appliances,2021,5,0,22.5852,6,77.88
Office Supplies,Chicago,United States,Rick Bensley,8/29/2021,CA-2021-158568,60610,Central,Home Office,9/2/2021,Standard Class,Illinois,Paper,2021,4,0.2,22.6184,7,64.624
Technology,Chicago,United States,Rick Bensley,8/29/2021,CA-2021-158568,60610,Central,Home Office,9/2/2021,Standard Class,Illinois,Accessories,2021,4,0.2,-10.7973,3,95.976
Office Supplies,Chicago,United States,Rick Bensley,8/29/2021,CA-2021-158568,60610,Central,Home Office,9/2/2021,Standard Class,Illinois,Binders,2021,4,0.8,-3.0396,3,1.788
Office Supplies,Rochester,United States,Gary Zandusky,12/1/2021,CA-2021-129903,55901,Central,Consumer,12/4/2021,Second Class,Minnesota,Paper,2021,3,0,11.7208,4,23.92
Technology,Aurora,United States,Lena Cacioppo,11/13/2020,US-2020-156867,80013,West,Consumer,11/17/2020,Standard Class,Colorado,Accessories,2020,4,0.2,-26.8758,6,238.896
Furniture,Aurora,United States,Lena Cacioppo,11/13/2020,US-2020-156867,80013,West,Consumer,11/17/2020,Standard Class,Colorado,Furnishings,2020,4,0.2,-3.8385,3,102.36
Office Supplies,Aurora,United States,Lena Cacioppo,11/13/2020,US-2020-156867,80013,West,Consumer,11/17/2020,Standard Class,Colorado,Binders,2020,4,0.7,-25.8174,3,36.882
Technology,Charlotte,United States,Janet Martin,11/23/2022,CA-2022-119004,28205,South,Consumer,11/28/2022,Standard Class,North Carolina,Accessories,2022,5,0.2,17.6016,8,74.112
Technology,Charlotte,United States,Janet Martin,11/23/2022,CA-2022-119004,28205,South,Consumer,11/28/2022,Standard Class,North Carolina,Phones,2022,5,0.2,2.0994,1,27.992
Office Supplies,Charlotte,United States,Janet Martin,11/23/2022,CA-2022-119004,28205,South,Consumer,11/28/2022,Standard Class,North Carolina,Art,2022,5,0.2,1.0738,1,3.304
Technology,Orland Park,United States,Pete Armstrong,10/15/2020,CA-2020-129476,60462,Central,Home Office,10/20/2020,Standard Class,Illinois,Accessories,2020,5,0.2,67.992,5,339.96
Furniture,New York City,United States,Cynthia Voltz,12/25/2022,CA-2022-146780,10035,East,Corporate,12/30/2022,Standard Class,New York,Furnishings,2022,5,0,10.9096,2,41.96
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2021,CA-2021-128867,50322,Central,Consumer,11/10/2021,Standard Class,Iowa,Art,2021,7,0,22.788,2,75.96
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2021,CA-2021-128867,50322,Central,Consumer,11/10/2021,Standard Class,Iowa,Binders,2021,7,0,13.3476,6,27.24
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2019,CA-2019-115259,43229,East,Consumer,8/27/2019,Second Class,Ohio,Fasteners,2019,2,0.2,14.5348,14,40.096
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2019,CA-2019-115259,43229,East,Consumer,8/27/2019,Second Class,Ohio,Envelopes,2019,2,0.2,1.652,2,4.72
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2019,CA-2019-115259,43229,East,Consumer,8/27/2019,Second Class,Ohio,Paper,2019,2,0.2,7.4925,3,23.976
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2019,CA-2019-115259,43229,East,Consumer,8/27/2019,Second Class,Ohio,Envelopes,2019,2,0.2,44.0316,6,130.464
Furniture,Seattle,United States,Dave Kipp,3/2/2020,CA-2020-110457,98103,West,Consumer,3/6/2020,Standard Class,Washington,Tables,2020,4,0,165.3813,3,787.53
Office Supplies,Bristol,United States,Greg Guthrie,4/5/2020,US-2020-136476,37620,South,Corporate,4/10/2020,Standard Class,Tennessee,Binders,2020,5,0.7,-115.7156,1,157.794
Furniture,Wilmington,United States,Steven Cartwright,6/12/2021,CA-2021-103730,19805,East,Consumer,6/15/2021,First Class,Delaware,Furnishings,2021,3,0,18.3456,3,47.04
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2021,CA-2021-103730,19805,East,Consumer,6/15/2021,First Class,Delaware,Binders,2021,3,0,13.878,4,30.84
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2021,CA-2021-103730,19805,East,Consumer,6/15/2021,First Class,Delaware,Storage,2021,3,0,63.4368,6,226.56
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2021,CA-2021-103730,19805,East,Consumer,6/15/2021,First Class,Delaware,Envelopes,2021,3,0,51.759,9,115.02
Technology,Wilmington,United States,Steven Cartwright,6/12/2021,CA-2021-103730,19805,East,Consumer,6/15/2021,First Class,Delaware,Phones,2021,3,0,19.7316,7,68.04
Furniture,Houston,United States,Alan Dominguez,12/26/2019,US-2019-152030,77041,Central,Home Office,12/28/2019,Second Class,Texas,Chairs,2019,2,0.3,-8.5794,3,600.558
Furniture,Bloomington,United States,Philip Fox,9/20/2019,US-2019-134614,61701,Central,Consumer,9/25/2019,Standard Class,Illinois,Tables,2019,5,0.5,-407.682,6,617.7
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2022,US-2022-107272,85023,West,Consumer,11/12/2022,Standard Class,Arizona,Binders,2022,7,0.7,-1.8308,2,2.388
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2022,US-2022-107272,85023,West,Consumer,11/12/2022,Standard Class,Arizona,Storage,2022,7,0.2,30.499,7,243.992
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2021,US-2021-125969,90004,West,Home Office,11/10/2021,Second Class,California,Chairs,2021,4,0.2,-9.1602,2,81.424
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2021,US-2021-125969,90004,West,Home Office,11/10/2021,Second Class,California,Furnishings,2021,4,0,26.2416,3,238.56
Technology,Columbus,United States,Dorothy Wardle,2/2/2022,US-2022-164147,43229,East,Corporate,2/5/2022,First Class,Ohio,Phones,2022,3,0.4,-11.994,5,59.97
Office Supplies,Columbus,United States,Dorothy Wardle,2/2/2022,US-2022-164147,43229,East,Corporate,2/5/2022,First Class,Ohio,Paper,2022,3,0.2,29.364,2,78.304
Office Supplies,Columbus,United States,Dorothy Wardle,2/2/2022,US-2022-164147,43229,East,Corporate,2/5/2022,First Class,Ohio,Fasteners,2022,3,0.2,6.9732,9,21.456
Office Supplies,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Paper,2021,6,0,9.6192,3,20.04
Office Supplies,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Paper,2021,6,0,16.6568,1,35.44
Office Supplies,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Art,2021,6,0,3.456,4,11.52
Office Supplies,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Fasteners,2021,6,0,1.9698,2,4.02
Office Supplies,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Binders,2021,6,0.2,26.6616,3,76.176
Office Supplies,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Supplies,2021,6,0,18.4464,6,65.88
Furniture,Roseville,United States,Lena Creighton,10/13/2021,CA-2021-145583,95661,West,Consumer,10/19/2021,Standard Class,California,Furnishings,2021,6,0,20.6976,14,43.12
Furniture,Philadelphia,United States,Jonathan Doherty,9/5/2021,CA-2021-110366,19140,East,Corporate,9/7/2021,Second Class,Pennsylvania,Furnishings,2021,2,0.2,10.35,2,82.8
Office Supplies,San Francisco,United States,Sally Hughsby,9/18/2022,CA-2022-106180,94122,West,Corporate,9/23/2022,Standard Class,California,Art,2022,5,0,2.3814,3,8.82
Office Supplies,San Francisco,United States,Sally Hughsby,9/18/2022,CA-2022-106180,94122,West,Corporate,9/23/2022,Standard Class,California,Envelopes,2022,5,0,5.1042,3,10.86
Office Supplies,San Francisco,United States,Sally Hughsby,9/18/2022,CA-2022-106180,94122,West,Corporate,9/23/2022,Standard Class,California,Paper,2022,5,0,68.976,3,143.7
Office Supplies,Independence,United States,Sandra Glassco,12/22/2022,CA-2022-155376,64055,Central,Consumer,12/27/2022,Standard Class,Missouri,Appliances,2022,5,0,218.2518,3,839.43
Office Supplies,Pasadena,United States,Helen Andreada,9/7/2020,CA-2020-110744,91104,West,Consumer,9/12/2020,Standard Class,California,Storage,2020,5,0,20.1579,7,671.93
Furniture,Newark,United States,Maureen Gastineau,10/22/2019,CA-2019-110072,43055,East,Home Office,10/28/2019,Standard Class,Ohio,Furnishings,2019,6,0.2,12.9096,4,93.888
Technology,Franklin,United States,Justin Ellison,12/5/2021,CA-2021-114489,53132,Central,Corporate,12/9/2021,Standard Class,Wisconsin,Phones,2021,4,0,103.8015,11,384.45
Technology,Franklin,United States,Justin Ellison,12/5/2021,CA-2021-114489,53132,Central,Corporate,12/9/2021,Standard Class,Wisconsin,Phones,2021,4,0,5.9988,3,149.97
Furniture,Franklin,United States,Justin Ellison,12/5/2021,CA-2021-114489,53132,Central,Corporate,12/9/2021,Standard Class,Wisconsin,Chairs,2021,4,0,585.552,8,1951.84
Office Supplies,Franklin,United States,Justin Ellison,12/5/2021,CA-2021-114489,53132,Central,Corporate,12/9/2021,Standard Class,Wisconsin,Binders,2021,4,0,80.6285,5,171.55
Office Supplies,Scottsdale,United States,Tamara Willingham,3/13/2021,CA-2021-158834,85254,West,Home Office,3/16/2021,First Class,Arizona,Appliances,2021,3,0.2,17.766,5,157.92
Technology,Scottsdale,United States,Tamara Willingham,3/13/2021,CA-2021-158834,85254,West,Home Office,3/16/2021,First Class,Arizona,Phones,2021,3,0.2,15.2388,2,203.184
Office Supplies,San Jose,United States,Stephanie Phelps,5/31/2020,CA-2020-124919,95123,West,Corporate,6/2/2020,First Class,California,Paper,2020,2,0,26.271,7,58.38
